index,year,week,deaths,year.month,n_days,deaths.s,pop,pop.0to65,temp.max,temp.min,t.min,t.max,covid,covid.m,covid.w,covid.0to65,covid.65to80,covid.80plus,deaths.pc,share.m,counter
1995.1,1995,1,538,1995.01,1,470.75,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.177599927590705,50.875363857455845,-14
1995.2,1995,2,511,1995.01,0,511,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.16125197583429,50.875363857455845,-14
1995.3,1995,3,473,1995.01,0,473,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.32342893262157,50.875363857455845,-14
1995.4,1995,4,513,1995.01,0,513,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3106110833718,50.875363857455845,-14
1995.5,1995,5,484,1995.01,0,484,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.14490402407788,50.875363857455845,-14
1995.6,1995,6,464,1995.02,0,464,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.65131294870276,50.875363857455845,-14
1995.7,1995,7,503,1995.02,0,503,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.56381554568424,50.875363857455845,-14
1995.8,1995,8,481,1995.02,0,481,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.920865362771615,50.875363857455845,-14
1995.9,1995,9,491,1995.02,0,491,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.667660900459175,50.875363857455845,-14
1995.10,1995,10,513,1995.03,0,513,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3106110833718,50.875363857455845,-14
1995.11,1995,11,486,1995.03,0,486,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.294263131615395,50.875363857455845,-14
1995.12,1995,12,516,1995.03,0,516,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.53464974467807,50.875363857455845,-14
1995.13,1995,13,498,1995.03,0,498,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.19041777684046,50.875363857455845,-14
1995.14,1995,14,492,1995.04,0,492,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.74234045422793,50.875363857455845,-14
1995.15,1995,15,499,1995.04,0,499,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.26509733060922,50.875363857455845,-14
1995.16,1995,16,508,1995.04,0,508,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.93721331452802,50.875363857455845,-14
1995.17,1995,17,488,1995.04,0,488,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.44362223915291,50.875363857455845,-14
1995.18,1995,18,508,1995.05,0,508,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.93721331452802,50.875363857455845,-14
1995.19,1995,19,528,1995.05,0,528,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.430804389903145,50.875363857455845,-14
1995.20,1995,20,463,1995.05,0,463,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.57663339493401,50.875363857455845,-14
1995.21,1995,21,492,1995.05,0,492,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.74234045422793,50.875363857455845,-14
1995.22,1995,22,514,1995.05,0,514,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.385290637140564,50.875363857455845,-14
1995.23,1995,23,485,1995.06,0,485,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.219583577846635,50.875363857455845,-14
1995.24,1995,24,435,1995.06,0,435,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.48560588940884,50.875363857455845,-14
1995.25,1995,25,477,1995.06,0,477,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.62214714769659,50.875363857455845,-14
1995.26,1995,26,511,1995.06,0,511,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.16125197583429,50.875363857455845,-14
1995.27,1995,27,522,1995.07,0,522,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.98272706729061,50.875363857455845,-14
1995.28,1995,28,517,1995.07,0,517,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.60932929844683,50.875363857455845,-14
1995.29,1995,29,480,1995.07,0,480,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.84618580900286,50.875363857455845,-14
1995.30,1995,30,512,1995.07,0,512,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.23593152960305,50.875363857455845,-14
1995.31,1995,31,527,1995.07,0,527,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.356124836134384,50.875363857455845,-14
